@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
68,'2021/11/08 20:46:48:864',2,0.308716,0.306274,0.307007,0,1,0,0,0
69,'2021/11/08 20:46:49:164',2,0.307922,0.308899,0.309265,0,1,0,0,0
70,'2021/11/08 20:46:49:478',2,0.310852,0.311035,0.309937,0,1,0,0,0
71,'2021/11/08 20:46:49:794',2,0.307983,0.308167,0.308411,0,1,0,0,0
72,'2021/11/08 20:46:50:109',2,0.309509,0.306702,0.310547,0,1,0,0,0
73,'2021/11/08 20:46:50:424',2,0.309631,0.306946,0.305054,0,1,0,0,0
74,'2021/11/08 20:46:50:724',2,0.308105,0.306396,0.307495,0,1,0,0,0
75,'2021/11/08 20:46:51:038',2,0.304932,0.308411,0.309204,0,1,0,0,0
76,'2021/11/08 20:46:51:353',2,0.309875,0.307312,0.310913,0,1,0,0,0
77,'2021/11/08 20:46:51:684',2,0.309509,0.312195,0.310486,0,1,0,0,0
78,'2021/11/08 20:46:51:984',2,0.31012,0.312622,0.305969,0,1,0,0,0
79,'2021/11/08 20:46:52:298',2,0.310364,0.312195,0.310608,0,1,0,0,0
80,'2021/11/08 20:46:52:599',2,0.310852,0.309631,0.309265,0,1,0,0,0
81,'2021/11/08 20:46:52:913',2,0.31012,0.312134,0.311096,0,1,0,0,0
82,'2021/11/08 20:46:53:229',2,0.310181,0.312073,0.311584,0,1,0,0,0
83,'2021/11/08 20:46:53:544',2,0.310669,0.311401,0.310852,0,1,0,0,0
84,'2021/11/08 20:46:53:844',2,0.311218,0.311584,0.310974,0,1,0,0,0
85,'2021/11/08 20:46:54:159',2,0.313171,0.311157,0.310669,0,1,0,0,0
86,'2021/11/08 20:46:54:474',2,0.312378,0.311646,0.310608,0,1,0,0,0
87,'2021/11/08 20:46:54:789',2,0.311584,0.311646,0.313416,0,1,0,0,0
88,'2021/11/08 20:46:55:104',2,0.313232,0.311462,0.311279,0,1,0,0,0
89,'2021/11/08 20:46:55:404',2,0.311829,0.311584,0.312073,0,1,0,0,0
90,'2021/11/08 20:46:55:719',2,0.309448,0.311584,0.310486,0,1,0,0,0
91,'2021/11/08 20:46:56:034',2,0.310425,0.312561,0.310242,0,1,0,0,0
92,'2021/11/08 20:46:56:349',2,0.308777,0.312134,0.311157,0,1,0,0,0
93,'2021/11/08 20:46:56:663',2,0.310608,0.313477,0.312378,0,1,0,0,0
94,'2021/11/08 20:46:56:963',2,0.311157,0.313354,0.310669,0,1,0,0,0
95,'2021/11/08 20:46:57:279',2,0.312378,0.313354,0.3125,0,1,0,0,0
96,'2021/11/08 20:46:57:594',2,0.313171,0.312256,0.312317,0,1,0,0,0
97,'2021/11/08 20:46:57:909',2,0.310852,0.31366,0.312927,0,1,0,0,0
98,'2021/11/08 20:46:58:224',2,0.313232,0.312012,0.313354,0,1,0,0,0
99,'2021/11/08 20:46:58:524',2,0.31189,0.31427,0.3125,0,1,0,0,0
100,'2021/11/08 20:46:58:839',2,0.314636,0.312683,0.312195,0,1,0,0,0
101,'2021/11/08 20:47:09:759',3,1.218079,1.241516,1.226318,0,0,1,0,0
102,'2021/11/08 20:47:10:074',3,1.240173,1.224915,1.224487,0,0,1,0,0
103,'2021/11/08 20:47:10:388',3,1.217651,1.234375,1.233215,0,0,1,0,0
104,'2021/11/08 20:47:10:704',3,1.22583,1.238831,1.22876,0,0,1,0,0
105,'2021/11/08 20:47:11:004',3,1.220154,1.223816,1.224976,0,0,1,0,0
106,'2021/11/08 20:47:11:319',3,1.224854,1.226318,1.234741,0,0,1,0,0
107,'2021/11/08 20:47:11:634',3,1.22052,1.229675,1.223938,0,0,1,0,0
108,'2021/11/08 20:47:11:948',3,1.198853,1.204468,1.208557,0,0,1,0,0
109,'2021/11/08 20:47:12:264',3,1.22522,1.225098,1.224304,0,0,1,0,0
110,'2021/11/08 20:47:12:563',3,1.239868,1.240845,1.230774,0,0,1,0,0
111,'2021/11/08 20:47:12:879',3,1.235229,1.229492,1.222656,0,0,1,0,0
112,'2021/11/08 20:47:13:194',3,1.22876,1.232727,1.216431,0,0,1,0,0
113,'2021/11/08 20:47:13:509',3,1.222778,1.226074,1.214111,0,0,1,0,0
